timestamp,speaker,words,tags,county
,Denise,What is your name? When are where were you born? Where did you grow up?,q-details,Latah
,Jerry Schutz,"My name is Jerry Schutz. I was born December 11, 1964 in Long beach, California. I grew up in Moscow, Idaho.",,
,Denise,When did you move to Moscow?,,
,Jerry Schutz,We moved to Moscow in 1968.,,
,Denise,"Okay, so you were four. ",,
,Jerry Schutz,I have to rephrase the question. I forget to do that.,,
,Denise,"No, you don’t have to. This is an oral history, so we’re good.",,
,Jerry Schutz,"Oh, okay.",,
,Denise,What was it like growing up in Idaho?,,
,Jerry Schutz,"I had a kind of Aussie and Harriet Beaver kind of family. You know two boys, I was the older, my brother was eleven months younger. Dad worked, mom stayed home, and you know, kept the house, did the dishes, cooked you know. So, yeah, it was kind of a normal upbringing. I mean granted we were the first ones on the bus and rode 40 miles a day to come back to go to school that was like a mile over there, but you know I got to see the country side and I got to meet, you know that was my community because where we are now, the city was half a mile out that way where our neighbor was a quarter mile away, so.",family,
,Denise,What did your dad do? ,,
,Jerry Schutz,"Uh, dad worked for WSU. When he moved up here he was a heating and air conditioning. He had his own heating and air conditioning business in California. When heh moved here and he worked for Sears for a while then he worked for WSU. He started building the trailer park. He had a roller skating rink out at the mall. It was really small. It was the first roller skating rink in town and then the trailer court. Those are the ones I remember most. I think there’s something I missed in there that, another little business he had, I don’t remember.",family,
,Denise,What did you do as a kid?,q-up,
,Jerry Schutz,I went to school.,;q-up,
,Denise,Where did you go to school?,,
,Jerry Schutz,"I went to McDonald elementary, Moscow Junior High and Moscow Senior High. I went to the Presbyterian day school for kindergarten. I was in second grade in 1972 when Richard Nixon was elected president. I remember that. Mrs. Peterson was my first grade teacher. Miss. Aimes was my kindergarten teacher. Miss. Law was second grade teacher. Miss. Herden was my third-grade teacher. Joe Brown was my fourth grade teacher. I had both Karen Tallon and Nancy Peterson was my fifth-grade teachers and then Mr. Carlson and Davis were my sixth grade teachers and then when you got to Junior High they just all you know, you ended up having individual classes and I could probably go back through and name them all. It’s really not important.",,
,Denise,That’s crazy that you remember all of those. Tell me about the Boy Scouts.,,
,Jerry Schutz,"Yeah, so I started as a Cub Scout. My mom wanted, mom was the first female Cub Master probably in the United States. We were the Lewis-Clark district at the time and they, they knew about it, but they had her sign everything LW, so that the people back at Boy Scout Central didn’t know that LW didn’t stand for Lillian White and so she got to be our Cub Master and we, you know I went on to do webalows and Boy Scouts and was in two or three different troops. I was in the Saint Maries troop, the Moose lodge had a troop and then ended up at the Presbyterian church. And yeah, those were weakly meetings, usually on Monday and Tuesdays and you know, campouts and summer camp. You know, I got to do summer camp and the staff up at Grizzly did that for about five years. Yeah, um I was an Eagle Scout, one palm I think I got. I got, my eagle scout in 1982. My Chevy Go signed by Ronald Reagan and yeah that was an interesting chapter.",,
,Denise,"So, tell me currently then looking back, what happened with the Boy Scouts?",,
