timestamp,speaker,words,tags,county
0:00:06,Anonymous ,"I was born and raised in Edmonton, Alberta. Uh, and basically I was there until my mid-20's.",,Kootenai
,Denise ,"Okay. You went to school there, high school there? ",,
,Anonymous ,University. ,,
,Denise ,University. What university did you go to? ,,
,Anonymous ,University of Alberta. ,,
,Denise ,Okay. And what did you study? ,,
,Anonymous ,"Um. Um. For my bachelors, my first degree was in was medical biochemistry. Uh and then I went into plant biochemistry for my doctorate. ",,
,Denise ,Interesting. Okay. And then where did that lead you? ,,
,Anonymous ,"Um, well from there I went to University of Davis. I worked there for five years in um, well two years in plant biochemistry, lipid metabolism and then two and a half years in virus diseases, virus biotechnology of plants. ",q-work ,
,Denise ,Wow. ,;q-work ,
,Anonymous ,"From there I taught at Simon Fraiser University for four years in Biology and then I worked in the federal government in Canada for ten years running virus disease control programs and supporting bio technology. And then for the last twenty years I worked at Washington State University in Prosser, um operating the national quarantine program for fruit trees and grapes. ",q-work ,
,Denise ,Fascinating. And then you retired? ,;q-work ,
,Anonymous ,I retired kind of. About two years ago. ,,
,Denise ,"Yeah. Okay. We're gonna go way back, so uh, when did you move to Idaho? ",,
,Anonymous ,"Uh, I started moving here, it was a long transition. I started moving here five years ago, but I've actually been here full time for three years. ",,
,Denise ,"Okay, so...",,
,Anonymous ,"Um, as I mentioned earlier I used to come down here in the 50's for summer vacation when I was a little kid to Coeur D'Alene, so I have fond memories of that. ",,
,Denise ,Yeah. So was it your decision then to retire in Coeur D'Alene? ,,
,Anonymous ,"Um, it was. Um, um I have a partner who lives in Idaho. Um, north of here and we decided collectively that this was a nice jumping off place, uh transition place for me. Um, I think it's become more of a permanent residence now, so...",,
,Denise ,"Yeah, awesome. Um, so I guess you grew up in Alberta. Would you describe it as urban or rural? ",q-up ,
,Anonymous ,"Uh, rural. ",;q-up ,
,Denise ,Rural. ,,
,Anonymous ,Yeah. ,,
,Denise ,"Okay. Um, were you out? When did you come out? What was coming out like? Was there a fear associated with it? ",q-out ,
,Anonymous ,"Um, I had no support when I was growing up. I knew I was different. ",;q-out ,
,Denise ,Yeah. ,,
,Anonymous ,"Uh, I didn't even know what it was to be gay, to be honest. I mean in our house, I mean we had, it was of, a loving house in the sense I had all the physical amenities, but it was a very stade environment and you do not talk about personal feelings at all. And, so I really had no support whatsoever, support group. And I didn't really figure out um, what was going on. I knew it was different, but I didn't know what that meant until my 20's. And you know, I knew I was different. I tried to make it work as a homo...homosexual in a heterosexual world for a long way. ",comingout,
,Denise ,Yeah. ,,
,Anonymous ,Long time. Because that was my only point of reference. I mean that's the way you live. ,,
,Denise ,Yeah. ,,
,Anonymous ,"And I did that for a long, long time. An embarrassingly long time. Um, actually it was probably in the early 2000's. ",,
,Denise ,Yeah. ,,
,Anonymous ,"That I finally decided that this is isn't fair to me. It's not fair to anybody. And so um, I stopped trying to fit into the heterosexual world at that point and consequently it became very isolated. Um, because I was, at that time a very homophobic environment. ",comingout; homophobia,
,Denise ,Where? ,,
,Anonymous ,"Um, this was in rural Eastern Washington. And a long time ago someone made a comment about being gay. It's almost like being a spy because people don't always know you're gay and you hear their comments and things, just. ",homophobia,
,Denise ,Yeah. ,,
,Anonymous ,Very hurtful comments. ,,
,Denise ,Yeah. ,,
,Anonymous ,"And uh, so rural Eastern Washington there was an event that happened just after I moved there. Um, and really uh, actually a gay fellow was murdered and it was just kind of, his life was discounted, 'well, he was just gay.' You know and so I just, I was totally isolated, uh threw myself at my work, which helped professionally, but personally it was pretty much a disaster. ",comingout,
,Denise ,Yeah. ,,
0:05:20,Anonymous ,"And so I stayed in the closet. I decided that um, for a long, long time um, I had just been coming out when I lived in Canada, but then I moved down here and there was these events in rural, uh Washington and I went so far back in the closet. ",,
,Denise ,Yeah. ,,
,Anonymous ,"And so I just threw myself at my work. I was totally isolated at that point and uh, for a long until oh about about ten years ago. I just decided this is ridiculous. ",comingout,
,Denise ,Yeah. ,,
,Anonymous ,This is no way to live. ,,
,Denise ,Do you remember the moment that you decided that? And what prompted it? ,,
,Anonymous ,"Um, it was...largely, well two things. First of all, I had been in kind of a on again, off again relationship with a woman, mostly off again for like twenty years. And I decided it wasn't fair to her. ",comingout,
,Denise ,Yeah. ,,
